DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D0003U,COc1ccccc1C1=NC2(CCN(C(=O)C3(Cc4cccnc4)CCNCC3)CC2)C(=O)N1,461.566,1.2,6,2,95.92,5,5
D0003V,NC1CCN(Cc2ccc(C(=O)N3CC(N4Cc5ccccc5NS4(=O)=O)C3)cc2)CC1,455.584,1.221,5,2,98.98,4,5
D0003W,O=C(N1CCC2(CC1)C(=O)Nc1ccc(Br)cc12)C1(Cc2cccc(Cl)c2)CCNCC1,516.867,3.895,3,2,61.44,3,5
D0003X,O=C(NCC1(Cc2ccc(F)cc2)CCOCC1)C1(Cc2ccc(Br)cc2)CCOCC1,504.44,4.719,3,1,47.56,7,4
D0003Y,NC1CCN(C(=O)c2ccc(C(=O)N3CCCCn4c(C5CCOCC5)nnc43)cc2)CC1,452.559,3.966,7,1,106.58,3,5
D0003Z,COc1ccccc1CC1(C(=O)NCc2ccc(OC3CCOCC3)c(F)c2)CCNCC1,456.558,3.23,5,2,68.82,8,4
D00040,O=C(Nc1ccc(S(=O)(=O)NC2CCNCC2)cc1)c1cncc(OCC2CCOCC2)c1,474.583,1.21,7,3,118.65,8,4
D00041,O=C(NC(CC1CCOCC1)c1ccc(F)cc1)C1(Cc2ccc(F)cc2)CCS(=O)(=O)CC1,491.6,4.353,4,1,72.47,7,4
D00042,CC(C)(C(=O)NCc1ccnc(N2CCS(=O)(=O)CC2)c1)c1ccccc1Br,466.401,4.016,5,1,79.37,5,3
D00043,O=C(NC1(Cc2ccccc2Cl)CCNCC1)c1ccc2nnc(C3CCOCC3)n2c1,453.974,5.073,6,2,80.55,5,5
D00044,O=C(Cn1c(C2CCOCC2)nc2cc(F)ccc21)N1CCC2(CC1)COc1cccc(F)c12,467.516,3.236,5,0,56.59,3,6
D00045,O=C(Cn1c(C2CCOCC2)nc2c(F)cccc21)N1CCC2(CC1)COc1cc(F)ccc12,467.516,3.236,5,0,56.59,3,6
D00046,O=C(NC1(Cc2ccc(Cl)cc2)CCNCC1)c1ccc2nnc(C3CCOCC3)n2c1,453.974,5.073,6,2,80.55,5,5
D00047,O=C(CC1(c2ccc(Cl)cc2)CCOCC1)N1CCC2(CC1)COc1ccc(Cl)cc12,460.401,4.485,3,0,38.77,3,5
D00048,NC1CCN(C(=O)c2cccc(C(=O)Nc3ccc(S(=O)(=O)NC4CCNCC4)cc3)c2)CC1,485.61,1.313,6,4,133.63,6,4
D00049,O=C(CC1(c2cccc(Br)c2)CCNCC1)NCC1(Cc2cccnc2)CCNCC1,485.47,2.914,4,3,66.05,7,4
D0004A,O=C(N1CCCC(c2noc(C3CC3)n2)C1)C1(Cc2cccc(Cl)c2)CCS(=O)(=O)CC1,478.014,2.951,6,0,93.37,5,5
D0004B,COc1cccc(CC(C)(C)CNC(=O)Cn2c(C3CCOCC3)nc3c(F)cccc32)c1,453.558,4.039,5,1,65.38,8,4
D0004C,COc1cccc(C2=NC3(CCN(C(=O)c4cnc5cc(C(C)(C)C)nn5c4)CC3)C(=O)N2)c1,460.538,2.148,7,1,101.19,3,5
D0004D,O=C(NC1(Cc2cccc(Cl)c2)CCS(=O)(=O)CC1)c1ccc(S(=O)(=O)NC2CCNCC2)cc1,540.107,3.21,6,3,121.44,7,4
D0004E,COc1ccccc1CC1(C(=O)N2CCC(CN)(Cc3ccccn3)CC2)CCS(=O)(=O)CC1,485.65,2.008,6,1,102.59,7,4
D0004F,COc1ccccc1-n1nc(C(=O)N2CCC3(CCN(Cc4ccccc4)CC3)CC2)cc1C,458.606,4.558,5,0,50.6,5,5
D0004G,COc1ccccc1CC1(CN)CCN(C(=O)C2(Cc3ccc(Cl)cc3)CCS(=O)(=O)CC2)CC1,519.107,3.793,5,1,89.7,7,4
D0004H,COc1cccc(-c2nnc3n2CCCN3C(=O)C2(Cc3ccc(Cl)cc3)CCS(=O)(=O)CC2)c1,515.035,6.414,7,0,94.39,5,5
D0004I,COc1ccccc1C1=NC2(CCN(C(=O)C3(Cc4cccc(Cl)c4)CCNCC3)CC2)C(=O)N1,495.023,3.074,5,2,83.03,5,5
D0004J,Cc1ccc(NC(=O)NC2CCN(C(=O)CC3(c4ccccc4F)CCNCC3)CC2)cc1,452.574,3.165,3,3,73.47,5,4
D0004K,NC1CCN(c2ccccc2NC(=O)c2ccc(S(=O)(=O)NC3CCNCC3)cc2)CC1,457.6,2.095,6,4,116.56,6,4
D0004L,Cc1ccccc1C1(CC(=O)N2CCC3(CC2)N=C(c2ccccc2F)NC3=O)CCOCC1,463.553,3.331,4,1,71.0,4,5
D0004M,O=C(Nc1cccc(Cl)c1)NC1CCN(C(=O)C2(Cc3ccc(F)cc3)CCC(F)(F)CC2)CC1,507.984,5.333,2,2,61.44,5,4
D0004N,CC(=O)N1CCC(n2cc(C(=O)N3CCCC(N4Cc5ccccc5NS4(=O)=O)C3)cn2)CC1,486.598,1.097,6,1,107.85,3,5
