DLiP-ID,Mol Image,MW,XLogP,HBA,HBD,PSA,nRotatableBonds,nRings
D000DF,,452.526,3.834,4,1,63.79,6,5
D000DG,,453.514,1.584,5,1,80.76,3,5
D000DH,,515.452,3.541,4,3,82.7,5,4
D000DI,,488.556,3.008,4,0,74.76,4,5
D000DJ,,452.53,2.804,4,2,95.74,4,4
D000DK,,465.55,3.976,7,1,83.84,9,4
D000DL,,474.602,2.759,5,4,99.33,7,4
D000DM,,513.063,4.624,6,1,92.26,5,5
D000DN,,450.988,3.094,4,1,83.55,3,5
D000DO,,460.575,2.907,6,1,92.26,5,4
D000DP,,470.411,4.807,2,2,61.44,4,4
D000DQ,,483.569,2.388,5,1,87.54,4,6
D000DR,,490.025,2.701,5,2,87.74,4,5
D000DS,,462.547,1.874,6,4,108.56,7,4
D000DT,,455.961,3.258,3,2,61.44,2,5
D000DU,,457.6,1.2,6,4,112.22,7,4
D000DV,,472.611,2.365,7,2,114.62,6,4
D000DW,,449.551,2.525,5,1,85.1,3,5
D000DX,,501.649,2.736,6,3,105.76,9,4
D000DY,,453.948,2.453,7,1,107.48,8,3
D000DZ,,471.443,2.11,4,2,71.25,5,4
D000E0,,484.597,3.088,4,3,94.3,5,5
D000E1,,472.427,4.95,2,2,61.44,5,3
D000E2,,488.556,3.008,4,0,74.76,4,5
D000E3,,453.562,2.466,5,4,99.49,6,4
D000E4,,491.857,4.441,3,1,55.56,4,4
D000E5,,519.649,1.067,6,3,127.92,5,5
D000E6,,451.498,3.091,5,1,80.23,5,5
D000E7,,455.371,5.845,1,1,36.1,3,5
D000E8,,455.396,4.97,2,2,54.12,6,4
D000E9,,528.451,2.93,4,3,107.77,4,4
D000EA,,453.97,3.232,4,1,75.87,2,5
D000EB,,464.541,2.634,4,1,86.95,3,5
D000EC,,450.514,2.201,4,2,95.74,2,5
D000ED,,462.815,5.644,2,1,38.33,5,4
D000EE,,505.622,0.709,6,3,127.92,5,5
D000EF,,460.449,4.056,3,3,53.16,6,4
D000EG,,464.566,2.462,5,3,115.97,6,4
D000EH,,483.996,3.315,4,3,98.74,6,4
D000EI,,470.635,3.392,5,2,84.5,7,4
D000EJ,,498.574,3.439,6,1,68.62,7,5
D000EK,,484.644,4.316,5,0,50.6,5,6
D000EL,,503.868,4.242,3,1,41.57,3,5
D000EM,,515.611,1.778,7,3,114.35,7,5
D000EN,,464.585,3.449,4,2,78.67,5,5
D000EO,,452.574,2.846,4,2,92.66,5,4
D000EP,,503.456,4.275,3,1,55.56,6,4
D000EQ,,497.643,3.953,5,0,61.68,6,6
D000ER,,487.579,5.004,6,1,73.97,7,6
D000ES,,467.541,2.854,4,3,98.74,6,4
