Target Pref Name,DLiP-ID,Informative Target Pref Name
BCL2-Like_BAX,I000EC,MCL1/BAX
BCL2-Like_BAX,I000EC,B2LA1/BAX
BCL2-Like_BAX,I000EC,B2CL1/BAX
BCL2-Like_BAX,I000ED,
BCL2-Like_BAX,I000EE,
BCL2-Like_BAX,I000EF,
BCL2-Like_BAX,I000EI,BCL2/BAX
BCL2-Like_BAX,I000EI,BCL2/BAX
BCL2-Like_BAX,I000ES,MCL1/BAX
BCL2-Like_BAX,I000ES,BCL2/BAX
BCL2-Like_BAX,I000ES,BCL2/BAX
BCL2-Like_BAX,I000ES,MCL1/BAX
BCL2-Like_BAX,I000ET,
BCL2-Like_BAX,I000F0,BCL2/BAX
BCL2-Like_BAX,I000F0,BCL2/BAX
BCL2-Like_BAX,I000F3,MCL1/BAX
BCL2-Like_BAX,I000F3,MCL1/BAX
BCL2-Like_BAX,I000F3,BCL2/BAX
BCL2-Like_BAX,I000F3,BCL2/BAX
BCL2-Like_BAX,I000F4,
BCL2-Like_BAX,I000F6,BCL2/BAX
BCL2-Like_BAX,I000F6,BCL2/BAX
BCL2-Like_BAX,I000F7,BCL2/BAX
BCL2-Like_BAX,I000F7,BCL2/BAX
BCL2-Like_BAX,I000F9,
BCL2-Like_BAX,I000FA,
BCL2-Like_BAX,I000FB,B2CL2/BAX
BCL2-Like_BAX,I000FB,BCL2/BAX
BCL2-Like_BAX,I000FB,B2CL1/BAX
BCL2-Like_BAX,I000FB,B2CL2/BAX
BCL2-Like_BAX,I000FB,BCL2/BAX
BCL2-Like_BAX,I000FB,B2CL1/BAX
BCL2-Like_BAX,I000FG,BCL2/BAX
BCL2-Like_BAX,I000FG,BCL2/BAX
BCL2-Like_BAX,I000FH,BCL2/BAX
BCL2-Like_BAX,I000FH,BCL2/BAX
BCL2-Like_BAX,I000FK,MCL1/BAX
BCL2-Like_BAX,I000FK,BCL2/BAX
BCL2-Like_BAX,I000FK,BCL2/BAX
BCL2-Like_BAX,I000FK,MCL1/BAX
BCL2-Like_BAX,I000FL,
BCL2-Like_BAX,I000FW,
BCL2-Like_BAX,I000GL,B2CL1/BAX
BCL2-Like_BAX,I000GL,B2CL1/BAX
BCL2-Like_BAX,I000GU,BCL2/BAX
BCL2-Like_BAX,I000GU,BCL2/BAX
BCL2-Like_BAX,I000GZ,BCL2/BAX
BCL2-Like_BAX,I000GZ,BCL2/BAX
BCL2-Like_BAX,I000H1,B2CL1/BAX
BCL2-Like_BAX,I000H1,BCL2/BAX
BCL2-Like_BAX,I000H1,BCL2/BAX
BCL2-Like_BAX,I000H1,B2CL1/BAX
BCL2-Like_BAX,I000H2,
BCL2-Like_BAX,I000H5,MCL1/BAX
BCL2-Like_BAX,I000H5,BCL2/BAX
BCL2-Like_BAX,I000H5,BCL2/BAX
